word,meaning,source_sentence,target_sentence,input_text,target_text
Hoải,"Chán nản, mệt Rề rà Hư hỏng, phung phí.",Nói tới cái chốn quan trường tôi dã hoải.,"Nhắc đến chốn quan trường hiểm ác là tôi đã thấy mệt mỏi, chán nản lắm rồi.","Hoải [SEP] Chán nản, mệt Rề rà Hư hỏng, phung phí. [SEP] Nói tới cái chốn quan trường tôi dã hoải.","Nhắc đến chốn quan trường hiểm ác là tôi đã thấy mệt mỏi, chán nản lắm rồi."
Lứ,"Anh, chị, mày (đại từ ngôi thứ 2 - gốc Triều Châu).",Tôi với lứ đi Bạc Liêu một chuyến đi.,Tôi với mày/anh đi Bạc Liêu một chuyến đi.,"Lứ [SEP] Anh, chị, mày (đại từ ngôi thứ 2 - gốc Triều Châu). [SEP] Tôi với lứ đi Bạc Liêu một chuyến đi.",Tôi với mày/anh đi Bạc Liêu một chuyến đi.
Quởn,Rảnh rỗi (Hưởn),Anh có quởn thì qua chơi.,Anh có rảnh thì qua chơi.,Quởn [SEP] Rảnh rỗi (Hưởn) [SEP] Anh có quởn thì qua chơi.,Anh có rảnh thì qua chơi.
Lớt lớt,"Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa.",Chỉ bị lớt lớt cái đầu gối thôi,Chỉ bị xước sơ sơ cái đầu gối thôi,"Lớt lớt [SEP] Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa. [SEP] Chỉ bị lớt lớt cái đầu gối thôi",Chỉ bị xước sơ sơ cái đầu gối thôi
Mắc công,Mất công xấu hổ ngại ngùng cây hoa trinh nữ.,Mắc cỡ gì mà hổng chịu lên hát.,Xấu hổ gì mà không chịu lên hát.,Mắc công [SEP] Mất công xấu hổ ngại ngùng cây hoa trinh nữ. [SEP] Mắc cỡ gì mà hổng chịu lên hát.,Xấu hổ gì mà không chịu lên hát.
Cùi xức móng,Thề thốt đoan chắc việc gì đó không thể nào xảy ra,"Nó mà tới chiều nay, tao cùi xức móng cho mày coi","Thằng đó mà tới được đây vào chiều nay, tôi đi đầu xuống đất cho cậu xem","Cùi xức móng [SEP] Thề thốt đoan chắc việc gì đó không thể nào xảy ra [SEP] Nó mà tới chiều nay, tao cùi xức móng cho mày coi","Thằng đó mà tới được đây vào chiều nay, tôi đi đầu xuống đất cho cậu xem"
Lình kình,"Lỉnh kỉnh, cồng kềnh, nhiều đồ không gọn.",Mang đồ đạc lình kình thế kia.,Mang đồ đạc lỉnh kỉnh thế kia.,"Lình kình [SEP] Lỉnh kỉnh, cồng kềnh, nhiều đồ không gọn. [SEP] Mang đồ đạc lình kình thế kia.",Mang đồ đạc lỉnh kỉnh thế kia.
Hớn mỡ,"Động cỡn, rửng mỡ.",không có chuyện gì làm rồi hớn mỡ,rảnh rỗi không có việc gì làm rồi sinh ra rửng mỡ,"Hớn mỡ [SEP] Động cỡn, rửng mỡ. [SEP] không có chuyện gì làm rồi hớn mỡ",rảnh rỗi không có việc gì làm rồi sinh ra rửng mỡ
Ứ hự,"Quá nặng, quá no","Ở dưới quê người ta hay ứ hự lắm, trên này ít hơn.","Ở dưới quê người ta hay quá nặng lắm, trên này ít hơn.","Ứ hự [SEP] Quá nặng, quá no [SEP] Ở dưới quê người ta hay ứ hự lắm, trên này ít hơn.","Ở dưới quê người ta hay quá nặng lắm, trên này ít hơn."
Cóc (),"Quả cóc, cây cóc","Ba trái cóc này chua lắm, phải gọt sạch hết vỏ xanh ăn mới nổi","Mấy quả cóc này chua gắt, phải gọt sạch vỏ xanh mới ăn nổi","Cóc () [SEP] Quả cóc, cây cóc [SEP] Ba trái cóc này chua lắm, phải gọt sạch hết vỏ xanh ăn mới nổi","Mấy quả cóc này chua gắt, phải gọt sạch vỏ xanh mới ăn nổi"
Nhái giọng,Bắt chước,Nhỏ MC này có tài nhái giọng ca sĩ hải ngoại giống y chang không trật miếng nào.,Cô MC này có tài giả giọng ca sĩ hải ngoại giống y hệt không sai chỗ nào.,Nhái giọng [SEP] Bắt chước [SEP] Nhỏ MC này có tài nhái giọng ca sĩ hải ngoại giống y chang không trật miếng nào.,Cô MC này có tài giả giọng ca sĩ hải ngoại giống y hệt không sai chỗ nào.
Vừa in,Vừa khít,"Người kéo ra xem vừa in, đứng chật cứng cả đường.","Người kéo ra xem vừa khít, đứng chật cứng cả đường.","Vừa in [SEP] Vừa khít [SEP] Người kéo ra xem vừa in, đứng chật cứng cả đường.","Người kéo ra xem vừa khít, đứng chật cứng cả đường."
Cao tay ấn,Có bùa phép giỏi hoặc khả năng lường trước người khác,gặp người cao tay ấn như tao là mày phải khai nhận hết thôi,Gặp người sành sỏi hơn như tôi thì anh phải khai ra hết thôi,Cao tay ấn [SEP] Có bùa phép giỏi hoặc khả năng lường trước người khác [SEP] gặp người cao tay ấn như tao là mày phải khai nhận hết thôi,Gặp người sành sỏi hơn như tôi thì anh phải khai ra hết thôi
Biệt,Không bao giờ Dứt khoát hẳn,Từ giờ trở đi má cấm biệt con chơi với nó nghe hôn,Từ giờ trở đi mẹ cấm tiệt con chơi với nó nghe chưa,Biệt [SEP] Không bao giờ Dứt khoát hẳn [SEP] Từ giờ trở đi má cấm biệt con chơi với nó nghe hôn,Từ giờ trở đi mẹ cấm tiệt con chơi với nó nghe chưa
Nằm sòng,"Nằm lì một chỗ, đóng đô một chỗ (chơi bài).",Quanh năm chỉ biết nằm sòng không chán chết.,Quanh năm chỉ biết đóng đô một chỗ không chán chết.,"Nằm sòng [SEP] Nằm lì một chỗ, đóng đô một chỗ (chơi bài). [SEP] Quanh năm chỉ biết nằm sòng không chán chết.",Quanh năm chỉ biết đóng đô một chỗ không chán chết.
Thùi lùi Thùi thụi,Đen thui Đấm liên tiếp,"Chuyện thùi lùi này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện đen thui này nghe lạ nhưng thật đó, tớ chứng kiến.","Thùi lùi Thùi thụi [SEP] Đen thui Đấm liên tiếp [SEP] Chuyện thùi lùi này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện đen thui này nghe lạ nhưng thật đó, tớ chứng kiến."
Mép,"1. Mép, cạnh bìa.2. Ép sát vào, nép vào.3. Ngã mẹp (bẹp), nằm bẹp ra.",Nằm kế mẹp giường coi chừng té,Nằm sát mép giường coi chừng ngã,"Mép [SEP] 1. Mép, cạnh bìa.2. Ép sát vào, nép vào.3. Ngã mẹp (bẹp), nằm bẹp ra. [SEP] Nằm kế mẹp giường coi chừng té",Nằm sát mép giường coi chừng ngã
Sớ lớ Sớ rớ,Hớ miệng Lảng vảng,Đừng có sớ rớ ở đây coi chừng bị đòn.,Đừng có quẩn quanh ở đây coi chừng bị đòn.,Sớ lớ Sớ rớ [SEP] Hớ miệng Lảng vảng [SEP] Đừng có sớ rớ ở đây coi chừng bị đòn.,Đừng có quẩn quanh ở đây coi chừng bị đòn.
Cườm,"Bắp, phần nhô ra ở khuỷu tay khuỷu chân Ngà ngà say (cườm cườm)","Mới nhậu vô vài li mà đã cườm rồi sao, dạo này sao yếu vậy?","Anh mới uống có mấy ly rượu mà đã chếnh choáng ngà ngà say rồi cơ à, dạo này tửu lượng của anh kém thế?","Cườm [SEP] Bắp, phần nhô ra ở khuỷu tay khuỷu chân Ngà ngà say (cườm cườm) [SEP] Mới nhậu vô vài li mà đã cườm rồi sao, dạo này sao yếu vậy?","Anh mới uống có mấy ly rượu mà đã chếnh choáng ngà ngà say rồi cơ à, dạo này tửu lượng của anh kém thế?"
Làm lẽ,"Làm ra vẻ lơ là, thờ ơ.","Nó làm lẽ một chút vậy thôi, rồi nó cũng nhận mà.","Nó làm bộ làm tịch một chút vậy thôi, rồi nó cũng nhận mà.","Làm lẽ [SEP] Làm ra vẻ lơ là, thờ ơ. [SEP] Nó làm lẽ một chút vậy thôi, rồi nó cũng nhận mà.","Nó làm bộ làm tịch một chút vậy thôi, rồi nó cũng nhận mà."
Tuồm luôm,"Rậm rạp, um tùm",Cỏ mọc tuồm luôm sau vườn kìa.,Cỏ mọc um tùm sau vườn kìa.,"Tuồm luôm [SEP] Rậm rạp, um tùm [SEP] Cỏ mọc tuồm luôm sau vườn kìa.",Cỏ mọc um tùm sau vườn kìa.
Tiệp (màu),Hòa lẫn sắc màu,"Tao học được cái tiệp này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái hòa lẫn sắc màu này từ hồi nhỏ, giờ vẫn nhớ.","Tiệp (màu) [SEP] Hòa lẫn sắc màu [SEP] Tao học được cái tiệp này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái hòa lẫn sắc màu này từ hồi nhỏ, giờ vẫn nhớ."
Vác mặt,"Vênh mặt lên, kiêu căng","Mấy đứa ngồi vác mặt tới khuya, sáng ra vẫn đòi ăn nữa.","Mấy đứa ngồi vênh mặt lên đến khuya, sáng ra vẫn đòi ăn nữa.","Vác mặt [SEP] Vênh mặt lên, kiêu căng [SEP] Mấy đứa ngồi vác mặt tới khuya, sáng ra vẫn đòi ăn nữa.","Mấy đứa ngồi vênh mặt lên đến khuya, sáng ra vẫn đòi ăn nữa."
Con nhỏ,"Con bé, cô bé (thân mật hoặc coi thường)",Con nhỏ nhà ông thấy phải nói nó siêng học thiệt,Cô con gái nhà ông phải công nhận là học hành rất chăm chỉ,"Con nhỏ [SEP] Con bé, cô bé (thân mật hoặc coi thường) [SEP] Con nhỏ nhà ông thấy phải nói nó siêng học thiệt",Cô con gái nhà ông phải công nhận là học hành rất chăm chỉ
Nhảy hầm,(Cá) lọt xuống hố bắt cá thụt hầm chông (Heo) giao phối biến chứng lan ra (nhọt).,Sợ nhảy hầm.,Sợ thụt hầm chông.,Nhảy hầm [SEP] (Cá) lọt xuống hố bắt cá thụt hầm chông (Heo) giao phối biến chứng lan ra (nhọt). [SEP] Sợ nhảy hầm.,Sợ thụt hầm chông.
Nuốt trộng,"Nuốt gọn, ăn lấn át.",Thuốc đắng quá thì ngậm ngụm nước rồi nuốt trộng qua truông chớ ngậm hoài sao chịu nổi.,Thuốc đắng quá thì ngậm ngụm nước rồi nuốt chửng cho xong chứ ngậm mãi sao chịu nổi.,"Nuốt trộng [SEP] Nuốt gọn, ăn lấn át. [SEP] Thuốc đắng quá thì ngậm ngụm nước rồi nuốt trộng qua truông chớ ngậm hoài sao chịu nổi.",Thuốc đắng quá thì ngậm ngụm nước rồi nuốt chửng cho xong chứ ngậm mãi sao chịu nổi.
Cửu Long chín rồng,Hội nhóm giang hồ Chỉ người dân miền Tây Nam Bộ (mang ý tự hào),"Ánh là dân Cửu Long chín rồng đó, chớ hồng phải dân ở đâu dâu","Anh ấy là dân miền Tây Nam Bộ gốc rễ đàng hoàng đấy, chứ không phải dân giang hồ trôi dạt ở phương nào tới đâu","Cửu Long chín rồng [SEP] Hội nhóm giang hồ Chỉ người dân miền Tây Nam Bộ (mang ý tự hào) [SEP] Ánh là dân Cửu Long chín rồng đó, chớ hồng phải dân ở đâu dâu","Anh ấy là dân miền Tây Nam Bộ gốc rễ đàng hoàng đấy, chứ không phải dân giang hồ trôi dạt ở phương nào tới đâu"
Ngớn (1),"1. Ngấn, mức đo.2. Ngán, ngấy thức ăn.",Tới ngớn cổ,Tới ngấn cổ,"Ngớn (1) [SEP] 1. Ngấn, mức đo.2. Ngán, ngấy thức ăn. [SEP] Tới ngớn cổ",Tới ngấn cổ
Mét chằn,Tái xanh tái mét (vì bệnh).,Cái da mét chằn,Cái da tái mét,Mét chằn [SEP] Tái xanh tái mét (vì bệnh). [SEP] Cái da mét chằn,Cái da tái mét
Xảm,Nhét đầy bụng Kém chất lượng,Gặp cái gì bả cũng xảm vô bụng hết.,Gặp cái gì bà ấy cũng tống vào bụng hết.,Xảm [SEP] Nhét đầy bụng Kém chất lượng [SEP] Gặp cái gì bả cũng xảm vô bụng hết.,Gặp cái gì bà ấy cũng tống vào bụng hết.
Kị cơ,"Khắc tinh, kị dơ, không phát huy được thế mạnh trước đối thủ.",Hai đội này kị rơ đá chẳng ra làm sao,Hai đội này kị dơ nhau đá chẳng ra làm sao,"Kị cơ [SEP] Khắc tinh, kị dơ, không phát huy được thế mạnh trước đối thủ. [SEP] Hai đội này kị rơ đá chẳng ra làm sao",Hai đội này kị dơ nhau đá chẳng ra làm sao
Vật vựa,"Lăn lộn đau đớn, vất vả",Thuốc này uống vô nó vật vựa lắm.,Thuốc này uống vào nó hành hạ cơ thể lắm.,"Vật vựa [SEP] Lăn lộn đau đớn, vất vả [SEP] Thuốc này uống vô nó vật vựa lắm.",Thuốc này uống vào nó hành hạ cơ thể lắm.
Nước kém,"Nước thủy triều rút cạn, hoặc lên rất ít rồi rút ngay.","Nước sát rồi đi gì được mà đi, phải nằm chờ nước lớn lại thôi.","Nước cạn sát đáy rồi không đi nổi đâu, phải nằm chờ nước dâng lên lại thôi.","Nước kém [SEP] Nước thủy triều rút cạn, hoặc lên rất ít rồi rút ngay. [SEP] Nước sát rồi đi gì được mà đi, phải nằm chờ nước lớn lại thôi.","Nước cạn sát đáy rồi không đi nổi đâu, phải nằm chờ nước dâng lên lại thôi."
Vạc sành,Loại côn trùng kêu đêm,Tao thấy người ta vạc sành mà hổng biết nói sao.,Tớ thấy người ta loại côn trùng kêu đêm mà không biết nói thế nào.,Vạc sành [SEP] Loại côn trùng kêu đêm [SEP] Tao thấy người ta vạc sành mà hổng biết nói sao.,Tớ thấy người ta loại côn trùng kêu đêm mà không biết nói thế nào.
Nghèo mạt hạng,"Rất nghèo, nghèo rớt mồng tơi (không còn cái chiếu nóp để ngủ) nghèo mà còn gặp tai hoạ (eo).",Nhà nghèo mà con cái cứ bịnh lên bịnh xuống. Đúng là nghèo mắc cái eo.,Nhà nghèo mà con cái cứ ốm lên ốm xuống. Đúng là nghèo lại gặp cái eo.,"Nghèo mạt hạng [SEP] Rất nghèo, nghèo rớt mồng tơi (không còn cái chiếu nóp để ngủ) nghèo mà còn gặp tai hoạ (eo). [SEP] Nhà nghèo mà con cái cứ bịnh lên bịnh xuống. Đúng là nghèo mắc cái eo.",Nhà nghèo mà con cái cứ ốm lên ốm xuống. Đúng là nghèo lại gặp cái eo.
Con gói,Lợn cúng tế (dùng trong giới đồng cốt),Mấy cổ vặn họng thì không khéo phải tốn một con gói,Không khéo đắc tội bị vật thì lại tốn một con lợn tế đấy,Con gói [SEP] Lợn cúng tế (dùng trong giới đồng cốt) [SEP] Mấy cổ vặn họng thì không khéo phải tốn một con gói,Không khéo đắc tội bị vật thì lại tốn một con lợn tế đấy
Ngộ (1),"Lạ, kì, hay hay xinh đẹp, dễ thương.",Nội xứ này không ai ngộ bằng em.,Nội xứ này không ai xinh bằng em.,"Ngộ (1) [SEP] Lạ, kì, hay hay xinh đẹp, dễ thương. [SEP] Nội xứ này không ai ngộ bằng em.",Nội xứ này không ai xinh bằng em.
Chăm bắm,"Nhìn chằm chằm Tin chắc, đinh ninh vào một điều gì đó","Đợt xét tuyển kì này, nó chăm bắm là mình sẽ được, nào dè không phải như thế","Đợt xét tuyển kỳ này, cậu ấy đinh ninh chắc mẩm là mình sẽ trúng, ngờ đâu kết quả lại trượt","Chăm bắm [SEP] Nhìn chằm chằm Tin chắc, đinh ninh vào một điều gì đó [SEP] Đợt xét tuyển kì này, nó chăm bắm là mình sẽ được, nào dè không phải như thế","Đợt xét tuyển kỳ này, cậu ấy đinh ninh chắc mẩm là mình sẽ trúng, ngờ đâu kết quả lại trượt"
Lọn,"Cuộn (lụa), món (tóc), bó (nhang).",Thân em như lọn nhang trần,Thân em như bó hương trần,"Lọn [SEP] Cuộn (lụa), món (tóc), bó (nhang). [SEP] Thân em như lọn nhang trần",Thân em như bó hương trần
Xe căm nhông,Xe tải chở lính,"Chú Ba hay nói tới chuyện xe căm nhông hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện xe tải chở lính mãi, tớ quen tai rồi.","Xe căm nhông [SEP] Xe tải chở lính [SEP] Chú Ba hay nói tới chuyện xe căm nhông hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện xe tải chở lính mãi, tớ quen tai rồi."
Cùn mằn,Mòn cụt tũn (Kiến thức) Bị mai một lụi tàn,Cái chổi cùn mằn rồi còn quét được gì nữa,Cái chổi rùn cụt tũn rồi còn quét tước gì được nữa,Cùn mằn [SEP] Mòn cụt tũn (Kiến thức) Bị mai một lụi tàn [SEP] Cái chổi cùn mằn rồi còn quét được gì nữa,Cái chổi rùn cụt tũn rồi còn quét tước gì được nữa
Nói ba khơi,1. Nói bóng gió.2. Nói vu vơ không căn cứ.,Biết đích xác thì nói đại đi. Chớ nói ba khơi,Biết rõ ràng thì nói thẳng ra đi. Chứ nói úp úp mở mở,Nói ba khơi [SEP] 1. Nói bóng gió.2. Nói vu vơ không căn cứ. [SEP] Biết đích xác thì nói đại đi. Chớ nói ba khơi,Biết rõ ràng thì nói thẳng ra đi. Chứ nói úp úp mở mở
Gày,Gầy (da bọc xương),sao vẫn gày hổng biết nữa?,sao vẫn gầy thế không biết nữa?,Gày [SEP] Gầy (da bọc xương) [SEP] sao vẫn gày hổng biết nữa?,sao vẫn gầy thế không biết nữa?
Cạo đầu khô,"Lời hăm dọa sẽ trừng phạt dữ dội, đau đớn",Mày mà làm mất cái đó của ổng là ổng cạo đầu khô mày đó,Con mà làm mất cái đó của ông ấy là ông ấy trị cho ra bã đấy,"Cạo đầu khô [SEP] Lời hăm dọa sẽ trừng phạt dữ dội, đau đớn [SEP] Mày mà làm mất cái đó của ổng là ổng cạo đầu khô mày đó",Con mà làm mất cái đó của ông ấy là ông ấy trị cho ra bã đấy
Khảm,2. Khoảnh đất trồng cỏ trang trí.,Ngôi biệt thự này phải có một khảm cỏ phía trước nữa mới tuyệt vời.,Ngôi biệt thự này phải có một thảm cỏ phía trước nữa mới tuyệt vời.,Khảm [SEP] 2. Khoảnh đất trồng cỏ trang trí. [SEP] Ngôi biệt thự này phải có một khảm cỏ phía trước nữa mới tuyệt vời.,Ngôi biệt thự này phải có một thảm cỏ phía trước nữa mới tuyệt vời.
Đẹt ngắt,"Rất còi, nhỏ bé quá mức bình thường",cho nên đứa nào đứa nấy cũng đẹt ngắt,nên đứa nào đứa nấy cũng còi cọc,"Đẹt ngắt [SEP] Rất còi, nhỏ bé quá mức bình thường [SEP] cho nên đứa nào đứa nấy cũng đẹt ngắt",nên đứa nào đứa nấy cũng còi cọc
"Rề (1, 2)",Lân la Chậm chạp,"Ở dưới quê người ta hay rề lắm, trên này ít hơn.","Ở dưới quê người ta hay lân la lắm, trên này ít hơn.","Rề (1, 2) [SEP] Lân la Chậm chạp [SEP] Ở dưới quê người ta hay rề lắm, trên này ít hơn.","Ở dưới quê người ta hay lân la lắm, trên này ít hơn."
Nhẹ hếu,"Nhẹ hều, rất nhẹ.",Cái túi nhẹ hếu này cho thằng nhỏ nó mang đi,Phân công việc xách đồ dựa trên trọng lượng vô cùng nhẹ của chiếc túi.,"Nhẹ hếu [SEP] Nhẹ hều, rất nhẹ. [SEP] Cái túi nhẹ hếu này cho thằng nhỏ nó mang đi",Phân công việc xách đồ dựa trên trọng lượng vô cùng nhẹ của chiếc túi.
Bẳng chẳng,"Dài dòng, rỗng tuếch","Thằng đó nói năng bẳng chẳng, chớ có ghé vào đâu","Tên đó nói năng sáo rỗng, chứ có ăn nhập vào đâu","Bẳng chẳng [SEP] Dài dòng, rỗng tuếch [SEP] Thằng đó nói năng bẳng chẳng, chớ có ghé vào đâu","Tên đó nói năng sáo rỗng, chứ có ăn nhập vào đâu"
U du,Một loại cỏ đồng bằng,Bồng em tới đám u du.,Bế em tới đám cỏ u du.,U du [SEP] Một loại cỏ đồng bằng [SEP] Bồng em tới đám u du.,Bế em tới đám cỏ u du.
Húng hách,"Hống hách, ra oai cậy quyền thế.",Cái thằng đó chỉ cần có một chút quyền hành là nó đã ra mặt húng hách rồi.,Cái thằng đó chỉ cần có tí chức quyền là đã tỏ thái độ hống hách ngay.,"Húng hách [SEP] Hống hách, ra oai cậy quyền thế. [SEP] Cái thằng đó chỉ cần có một chút quyền hành là nó đã ra mặt húng hách rồi.",Cái thằng đó chỉ cần có tí chức quyền là đã tỏ thái độ hống hách ngay.
Đường móng trâu,Loại đường nâu đổ vào khuôn hình móng trâu,"chè đậu xanh đường móng trâu, đây là bữa ăn ngon nhớ tới già",chè đậu xanh nấu với đường tảng móng trâu là món ngon nhớ đời,"Đường móng trâu [SEP] Loại đường nâu đổ vào khuôn hình móng trâu [SEP] chè đậu xanh đường móng trâu, đây là bữa ăn ngon nhớ tới già",chè đậu xanh nấu với đường tảng móng trâu là món ngon nhớ đời
Nửa sạc,"Đồ nửa cũ nửa mới, đồ dùng lướt (second-hand).",Cái ghe nửa sạc này mua rất rẻ,Chiếc thuyền cũ này mua rất rẻ,"Nửa sạc [SEP] Đồ nửa cũ nửa mới, đồ dùng lướt (second-hand). [SEP] Cái ghe nửa sạc này mua rất rẻ",Chiếc thuyền cũ này mua rất rẻ
Gõ,Cây gụ (loại gỗ quý dùng đóng đồ dùng),Nhà này xài toàn đồ gỗ gõ không thích thật,"Nhà này toàn dùng đồ gỗ gụ, trông thích thật đấy",Gõ [SEP] Cây gụ (loại gỗ quý dùng đóng đồ dùng) [SEP] Nhà này xài toàn đồ gỗ gõ không thích thật,"Nhà này toàn dùng đồ gỗ gụ, trông thích thật đấy"
Bắc (),"Phà, tàu qua sông (bac)",Đáng lo ngại nhất là lúc qua hai bắc Mỹ Thuận và Cần Thơ,Đáng lo ngại nhất là lúc qua hai phà Mỹ Thuận và Cần Thơ,"Bắc () [SEP] Phà, tàu qua sông (bac) [SEP] Đáng lo ngại nhất là lúc qua hai bắc Mỹ Thuận và Cần Thơ",Đáng lo ngại nhất là lúc qua hai phà Mỹ Thuận và Cần Thơ
Lòng tong,"1. Cá đòng đong.2. Hạng người nhỏ, ồn ào bề nổi nhưng không quan trọng.","Buổi chợ đương đông, con cá lòng tong anh chê lạt","Lúc chợ đang đông, con cá đòng đong anh chê nhạt","Lòng tong [SEP] 1. Cá đòng đong.2. Hạng người nhỏ, ồn ào bề nổi nhưng không quan trọng. [SEP] Buổi chợ đương đông, con cá lòng tong anh chê lạt","Lúc chợ đang đông, con cá đòng đong anh chê nhạt"
Quao,Một loại cây gỗ xốp,Cây quao này chặt về làm guốc được nè.,Cây vỏ gai này chặt về làm guốc được này.,Quao [SEP] Một loại cây gỗ xốp [SEP] Cây quao này chặt về làm guốc được nè.,Cây vỏ gai này chặt về làm guốc được này.
Bao bụng,Bán trọn gói ăn no bụng,"Chủ vườn bán bao bụng, để khách được tự do chọn lựa trái cây","Chủ vườn bán bao bụng, để khách được tự do chọn lựa trái cây","Bao bụng [SEP] Bán trọn gói ăn no bụng [SEP] Chủ vườn bán bao bụng, để khách được tự do chọn lựa trái cây","Chủ vườn bán bao bụng, để khách được tự do chọn lựa trái cây"
Bối (3),"Búi tóc, cuộn tóc",Làm cho cô Hai mày hai bối đuốc lá dừa đi,Làm cho cô Hai cậu hai bó đuốc lá dừa đi,"Bối (3) [SEP] Búi tóc, cuộn tóc [SEP] Làm cho cô Hai mày hai bối đuốc lá dừa đi",Làm cho cô Hai cậu hai bó đuốc lá dừa đi
Cành,"No bụng, đầy tràn, hoặc số lượng rất nhiều","Thôi anh ăn đi, tôi no cành rồi, ăn gì nổi nữa","Thôi anh ăn đi, tôi no căng bụng rồi, không ăn thêm được nữa","Cành [SEP] No bụng, đầy tràn, hoặc số lượng rất nhiều [SEP] Thôi anh ăn đi, tôi no cành rồi, ăn gì nổi nữa","Thôi anh ăn đi, tôi no căng bụng rồi, không ăn thêm được nữa"
Tiếng Tây bồi,Pha tạp tiếng Pháp và Việt,Nói chuyện toàn tiếng Tây bồi nghe ngộ ghê.,Nói chuyện toàn tiếng Pháp bồi nghe lạ thật.,Tiếng Tây bồi [SEP] Pha tạp tiếng Pháp và Việt [SEP] Nói chuyện toàn tiếng Tây bồi nghe ngộ ghê.,Nói chuyện toàn tiếng Pháp bồi nghe lạ thật.
Chà gộng,Các cành cây khô cắm dưới ao đìa dụ cá.,"Cỏ rác, chà gộng trong đìa được dọn sạch sẽ...","Cỏ rác, cành cây khô dưới ao được dọn sạch sẽ...","Chà gộng [SEP] Các cành cây khô cắm dưới ao đìa dụ cá. [SEP] Cỏ rác, chà gộng trong đìa được dọn sạch sẽ...","Cỏ rác, cành cây khô dưới ao được dọn sạch sẽ..."
Xấu nết,Tính nết xấu,Đừng có chơi với thằng xấu nết đó.,Đừng có chơi với thằng tính xấu đó.,Xấu nết [SEP] Tính nết xấu [SEP] Đừng có chơi với thằng xấu nết đó.,Đừng có chơi với thằng tính xấu đó.
Bột khoai,Bột nấu chè dạng cọng,"Nhớ mua một ít bột báng, bột khoai về nấu chè","Nhớ mua một ít trân châu, bột khoai về nấu chè","Bột khoai [SEP] Bột nấu chè dạng cọng [SEP] Nhớ mua một ít bột báng, bột khoai về nấu chè","Nhớ mua một ít trân châu, bột khoai về nấu chè"
Cười xộ,Cười rộ lên rồi nín bặt bẽn lẽn vì nhận ra mình nhầm,"Nó làm bọn mình mừng hụt, cười xô, quê hết biết","Cậu ấy làm bọn mình mừng hụt một phen, vừa cười rộ lên lại phải im ngay vì quá xấu hổ tẽn tò","Cười xộ [SEP] Cười rộ lên rồi nín bặt bẽn lẽn vì nhận ra mình nhầm [SEP] Nó làm bọn mình mừng hụt, cười xô, quê hết biết","Cậu ấy làm bọn mình mừng hụt một phen, vừa cười rộ lên lại phải im ngay vì quá xấu hổ tẽn tò"
Miệt,"Vùng, hướng (vùng quê, đồng bằng sông Cửu Long, vùng Tây Nam Bộ, miệt vườn trái cây).",Ra miệt biển chơi,Ra vùng biển chơi,"Miệt [SEP] Vùng, hướng (vùng quê, đồng bằng sông Cửu Long, vùng Tây Nam Bộ, miệt vườn trái cây). [SEP] Ra miệt biển chơi",Ra vùng biển chơi
Sanh (nhạc),Sênh - nhạc khí cổ bằng gỗ để gõ nhịp,Phải biết nhạc mới gõ sanh được.,Phải biết nhạc mới gõ sênh được.,Sanh (nhạc) [SEP] Sênh - nhạc khí cổ bằng gỗ để gõ nhịp [SEP] Phải biết nhạc mới gõ sanh được.,Phải biết nhạc mới gõ sênh được.
Tết âm,Tết Nguyên Đán,"Bác Tư hay nói tới chuyện tết âm hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện tết nguyên đán mãi, tớ quen tai rồi.","Tết âm [SEP] Tết Nguyên Đán [SEP] Bác Tư hay nói tới chuyện tết âm hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện tết nguyên đán mãi, tớ quen tai rồi."
Xế Xế xế,Lúc quá trưa,Đợi xế xế trời mát rồi đi.,Đợi tầm chiều muộn trời mát rồi đi.,Xế Xế xế [SEP] Lúc quá trưa [SEP] Đợi xế xế trời mát rồi đi.,Đợi tầm chiều muộn trời mát rồi đi.
Lỏm thỏm,"Bồn chồn, thắc thỏm âu lo.",Bả lỏm thỏm đứng ngồi không yên.,Bà ấy thắc thỏm đứng ngồi không yên.,"Lỏm thỏm [SEP] Bồn chồn, thắc thỏm âu lo. [SEP] Bả lỏm thỏm đứng ngồi không yên.",Bà ấy thắc thỏm đứng ngồi không yên.
Bí lù,"Bịt kín Giấu nhẹm Không biết, mù tịt","Súc bồn xong, mày nhớ bí lù lại đàng hoàng","Rửa bồn xong, cậu nhớ bịt kín lại đàng hoàng","Bí lù [SEP] Bịt kín Giấu nhẹm Không biết, mù tịt [SEP] Súc bồn xong, mày nhớ bí lù lại đàng hoàng","Rửa bồn xong, cậu nhớ bịt kín lại đàng hoàng"
